"","Sampling_site","Transect_Kick","join_key","PORIFERA","CNIDARIA","BRYOZOA","BRYOZOA","PLATYHELMINTHES","PLATYHELMINTHES_Dendrocoelidae","PLATYHELMINTHES_Dugesiidae","PLATYHELMINTHES_Planariidae","""NEMATHELMINTHES""","""NEMATHELMINTHES""","ANNELIDA","Hirudinea","Hirudinea_Erpobdellidae","Hirudinea_Glossiphoniidae","Hirudinea_Hirudidae_(Tachet)","Hirudinea_Piscicolidae","Hirudinea","Oligochaeta","Oligochaeta","MOLLUSCA","Gastropoda","Gastropoda_Acroloxidae","Gastropoda_Ancylidae_(Tachet)","Gastropoda_Bithyniidae","Gastropoda_Ferrissiidae_(Tachet)","Gastropoda_Hydrobiidae","Gastropoda_Lymnaeidae","Gastropoda_Neritidae","Gastropoda_Physidae","Gastropoda_Planorbidae","Gastropoda_Valvatidae","Gastropoda_Viviparidae","Gastropoda_Potamopyrgus_antipodarum","Bivalvia","Bivalvia_Corbiculidae*","Bivalvia_Dreissenidae*","Bivalvia_Sphaeriidae","Bivalvia_Unionidae","Bivalvia","ARTHROPODA","Arachnida_(Inf.-Cl.)_Acari","Arachnida_(Inf.-Cl.)_Acari_Hydracarina","Crustacea","Ostracoda","Copepoda","Amphipoda","Amphipoda_Corophiidae*","Amphipoda_Gammaridae","Amphipoda_Niphargidae","Isopoda","Isopoda_Asellidae","Isopoda_Janiridae*","Mysida","Mysida_Mysidae*","Decapoda","Decapoda_Astacidae","Decapoda_Cambaridae*","Insecta","Ephemeroptera","Ephemeroptera_Ameletidae","Ephemeroptera_Baetidae","Ephemeroptera_Caenidae","Ephemeroptera_Ephemerellidae","Ephemeroptera_Ephemeridae","Ephemeroptera_Heptageniidae","Ephemeroptera_Leptophlebiidae","Ephemeroptera_Oligoneuriidae","Ephemeroptera_Polymitarcyidae","Ephemeroptera_Potamanthidae","Ephemeroptera_Siphlonuridae","Odonata","Odonata_Aeshnidae","Odonata_Calopterygidae","Odonata_Coenagrionidae","Odonata_Cordulegastridae","Odonata_Corduliidae","Odonata_Gomphidae","Odonata_Lestidae","Odonata_Libellulidae","Odonata_Platycnemididae","Plecoptera","Plecoptera_Capniidae","Plecoptera_Chloroperlidae","Plecoptera_Leuctridae","Plecoptera_Nemouridae","Plecoptera_Perlidae","Plecoptera_Perlodidae","Plecoptera_Taeniopterygidae","Heteroptera","Heteroptera_Aphelocheiridae","Heteroptera_Corixidae","Heteroptera_Gerridae","Heteroptera_Hebridae","Heteroptera_Hydrometridae","Heteroptera_Mesoveliidae","Heteroptera_Naucoridae","Heteroptera_Nepidae","Heteroptera_Notonectidae","Heteroptera_Pleidae","Heteroptera_Veliidae","Heteroptera_PUPPE:_Heteroptera","Megaloptera","Megaloptera_Sialidae","Neuroptera","Neuroptera_Osmylidae","Neuroptera_Sisyridae","Coleoptera","Coleoptera_Curculionidae","Coleoptera_Chrysomelidae","Coleoptera_Dryopidae","Coleoptera_Dytiscidae","Coleoptera_Elmidae_(Larve)","Coleoptera_Elmidae_(adult)","Coleoptera_Elmis_sp.","Coleoptera_Elmis_sp._(adult)","Coleoptera_Esolus_sp.","Coleoptera_Esolus_sp._(adult)","Coleoptera_Limnius_sp._","Coleoptera_Limnius_sp.__(adult)","Coleoptera_Oulimnius_sp.","Coleoptera_Riolus_sp.","Coleoptera_Gyrinidae","Coleoptera_Haliplidae","Coleoptera_Helophoridae_(Tachet)","Coleoptera_Hydraenidae","Coleoptera_Hydrochidae_(Tachet)","Coleoptera_Hydrophilidae","Coleoptera_Hydroscaphidae","Coleoptera_Hygrobiidae","Coleoptera_Noteridae","Coleoptera_Psephenidae","Coleoptera_Scirtidae","Coleoptera_Spercheidae_(Tachet)","Trichoptera","Trichoptera_Apataniidae","Trichoptera_Beraeidae","Trichoptera_Brachycentridae","Trichoptera_Ecnomidae","Trichoptera_Glossosomatidae","Trichoptera_Goeridae","Trichoptera_Helicopsychidae","Trichoptera_Hydropsychidae","Trichoptera_Hydroptilidae","Trichoptera_Lepidostomatidae","Trichoptera_Leptoceridae","Trichoptera_Limnephilidae","Trichoptera_Molannidae","Trichoptera_Odontoceridae","Trichoptera_Philopotamidae","Trichoptera_Phryganeidae","Trichoptera_Polycentropodidae","Trichoptera_Psychomyiidae","Trichoptera_Ptilocolepidae","Trichoptera_Rhyacophilidae","Trichoptera_Sericostomatidae","Trichoptera_PUPPE:_Rhyacophilidae","Trichoptera_PUPPE:_Trichoptera","Lepidoptera","Diptera","Diptera_Anthomyiidae/Muscidae","Diptera_Athericidae","Diptera_Atherix_ibis","Diptera_Ibisia_marginata","Diptera_Blephariceridae","Diptera_Blephericera_sp.","Diptera_Hapalothrix_sp.","Diptera_Liponeura_sp.","Diptera_Ceratopogonidae","Diptera_Chaoboridae","Diptera_Chironomidae","Diptera_sF._Diamesinae","Diptera_sF._Orthocladiinae","Diptera_sF._Tanypodinae","Diptera_Tr._Tanytarsini","Diptera_Tr._Chironomini","Diptera_Pseudodiamesa_sp.","Diptera_Culicidae","Diptera_Cylindrotomidae","Diptera_Dixidae","Diptera_Dolichopodidae","Diptera_Empididae","Diptera_Ephydridae","Diptera_Limoniidae/Pediciidae","Diptera_Antocha_sp._","Diptera_Dicranota_sp.","Diptera_Eloeophila_sp.","Diptera_Hexatoma_sp._","Diptera_Molophilus_sp.","Diptera_Rhabdomastix_sp.","Diptera_Rhypholophus_sp.","Diptera_Psychodidae","Diptera_Ptychopteridae","Diptera_Rhagionidae","Diptera_Scathophagidae","Diptera_Sciomyzidae","Diptera_Simuliidae","Diptera_Stratiomyidae","Diptera_Syrphidae","Diptera_Tabanidae","Diptera_Thaumaleidae","Diptera_Tipulidae","Diptera_PUPPE:_Chironomidae/Diptera","Diptera_PUPPE:_Simuliidae"
"X300","VR6","3-3","VR6-3-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"420",NA,NA,NA,"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"250","13","1","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"77","3","54",NA,"20",NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"135",NA,NA,NA,NA,NA,"4",NA
"X301","VR6","4-1","VR6-4-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"327",NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"51",NA,NA,"37","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,"1",NA,"1447",NA,"26","5","1416",NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,"5",NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"11",NA
"X302","VR6","4-2","VR6-4-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"325",NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"963",NA,"14","1","948",NA,NA,NA,NA,NA,NA,"3",NA,"11",NA,"9",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,"4",NA
"X303","VR6","4-3","VR6-4-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"547",NA,NA,NA,"92",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"141","6",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"329",NA,"12",NA,"317",NA,NA,NA,NA,NA,NA,"1",NA,"5",NA,"2",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"4","1"
"X304","SE2","1-1","SE2-1-1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1",NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"2","0","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,"5",NA,"140","95","36",NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"5",NA,"2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41",NA
"X305","SE2","1-2","SE2-1-2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"56","50","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,"4",NA
"X306","SE2","1-3","SE2-1-3",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"50","39","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,"2",NA
"X307","SE2","2-1","SE2-2-1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA,NA,NA,"16","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","4","3","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","7","0","3",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"1","1",NA,"0",NA,NA,NA,"5",NA,"496","450","36",NA,"10",NA,NA,NA,NA,NA,NA,"2",NA,"14",NA,"11",NA,"2","1",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1","168",NA
"X308","SE2","2-2","SE2-2-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"73","64","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"2",NA
"X309","SE2","2-3","SE2-2-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"35","29","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"2",NA
"X310","SE2","3-1","SE2-3-1",NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16",NA,NA,NA,"11",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","9","1","7","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","0","2",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,"1",NA,"681","596","70",NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,"173",NA
"X311","SE2","3-2","SE2-3-2",NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38",NA,NA,NA,"70",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","12","1","30","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","0","5",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"308","283","18",NA,"7",NA,NA,NA,NA,NA,NA,"1",NA,"3",NA,"2",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,"18",NA,NA,NA,NA,NA,"29",NA
"X312","SE2","3-3","SE2-3-3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","8",NA,"2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","0","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"2",NA,NA,"2","2",NA,"34","20","10",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,"4","1"
"X313","SE2","4-1","SE2-4-1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,"2",NA,"639","540","73","1","25",NA,NA,NA,NA,NA,NA,"1",NA,"7",NA,NA,NA,NA,"7",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,"146",NA
"X314","SE2","4-2","SE2-4-2",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,"30",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","7",NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8","0","6",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1","0",NA,NA,NA,"2",NA,"478","445","24",NA,"9",NA,NA,NA,NA,NA,NA,"2",NA,"5",NA,"2",NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,"223",NA
"X315","SE2","4-3","SE2-4-3",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,"8",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","8","1","11","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","0","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,NA,NA,"227","179","31",NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,NA,NA,NA,"91",NA
"X316","SE3","1-1","SE3-1-1",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA,"1",NA,"11",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","0",NA,NA,"4",NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,"0",NA,NA,NA,"2",NA,"241","172","68",NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,"3",NA,"2",NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"46",NA
